epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.29271,1.25669,3.67518,3.38443,1.54134,0.00547,0.55556,0.01964,0.0072,0.00547,0.55556,0.01606,0.00648,1.51894,2.94278,3.59657,1.80463,0.04902,2e-05,2e-05
2,15.6704,1.25554,2.57223,3.21229,1.28812,0.01007,1,0.43206,0.22824,0.00884,0.88889,0.29966,0.18827,1.41859,8.81842,3.22823,1.3567,0.0475496,4.95875e-05,4.95875e-05
3,23.7739,0.99241,1.76157,2.88333,1.16921,0.01025,1,0.4345,0.19457,0.01025,1,0.45841,0.32107,1.27454,4.28603,3.17954,1.21504,0.0460787,7.868e-05,7.868e-05
4,31.6577,0.90168,1.54556,2.74443,1.06729,0.01028,1,0.53303,0.2901,0.00902,0.88889,0.2719,0.07881,1.08731,7.68094,3.06761,1.06622,0.0446073,0.000107278,0.000107278
5,38.6444,0.74879,1.3338,2.54753,1.03981,0.01073,1,0.58187,0.45876,0.00994,0.88889,0.30594,0.10179,0.79637,12.8576,2.94904,0.97899,0.0431354,0.00013538,0.00013538
6,45.607,0.65026,1.10405,2.39252,0.95666,0.01028,1,0.70342,0.6173,0.00939,0.88889,0.42158,0.28881,0.45641,10.647,2.8015,0.89065,0.041663,0.000162987,0.000162987
7,53.4759,0.63015,0.89973,2.24002,0.92536,0.01009,1,0.73344,0.67957,0.00794,0.77778,0.525,0.38842,0.38586,4.70853,2.72384,0.87374,0.0401901,0.0001901,0.0001901
8,60.9076,0.69352,1.07427,2.20321,0.9341,0.01001,1,0.73344,0.68212,0.01001,1,0.73344,0.44292,0.35832,2.91839,2.68121,0.86815,0.0387167,0.000216718,0.000216718
9,68.5135,0.6162,1.04984,1.93814,0.91994,0.01005,1,0.76042,0.68512,0.01005,1,0.76042,0.54419,0.39098,2.08852,2.6465,0.88193,0.0372428,0.00024284,0.00024284
10,76.2921,0.6393,1.19817,1.96812,0.94235,0.01029,1,0.77417,0.68589,0.01029,1,0.77417,0.54427,0.46015,2.49612,2.62867,0.89497,0.0357685,0.000268467,0.000268467
11,83.6347,0.67263,1.09942,1.88148,0.95333,0.01031,1,0.76631,0.65155,0.00544,0.55556,0.26388,0.16816,0.50199,10.4262,2.60811,0.89818,0.0342936,0.0002936,0.0002936
12,90.9454,0.60018,0.83692,1.94004,0.99349,0.01025,1,0.78517,0.69538,0.00785,0.77778,0.26285,0.17639,0.47171,20.209,2.57738,0.88786,0.0328182,0.000318237,0.000318237
13,98.1476,0.49001,0.82357,1.76212,0.88845,0.01015,1,0.78517,0.71417,0.00913,0.88889,0.53209,0.25904,0.38428,7.16362,2.54253,0.8742,0.0313424,0.00034238,0.00034238
14,105.922,0.55177,0.84384,1.67899,0.89525,0.01002,1,0.74117,0.6957,0.01002,1,0.74117,0.53636,0.31422,3.05734,2.48722,0.85626,0.029866,0.000366028,0.000366028
15,114.159,0.59968,0.99151,1.60956,0.91986,0.01002,1,0.74117,0.6957,0.01002,1,0.74117,0.53636,0.31422,3.05734,2.48722,0.85626,0.0283892,0.00038918,0.00038918
16,121.863,0.58704,1.0234,1.54647,0.92142,0.01003,1,0.77433,0.73913,0.01003,1,0.77433,0.58627,0.30628,2.36858,2.44073,0.85488,0.0269118,0.000411837,0.000411837
17,128.829,0.59509,1.08995,1.55878,0.97099,0.01003,1,0.71917,0.66396,0.01003,1,0.71917,0.57912,0.38282,1.98953,2.43324,0.86954,0.025434,0.000434,0.000434
18,135.881,0.62419,0.9949,1.57696,0.91586,0.01003,1,0.71917,0.66396,0.01003,1,0.71917,0.57912,0.38282,1.98953,2.43324,0.86954,0.0239557,0.000455667,0.000455667
19,142.849,0.56082,0.76586,1.45755,0.89486,0.01001,1,0.76631,0.6668,0.01001,1,0.76631,0.61497,0.58238,1.7827,2.45142,0.90788,0.0224768,0.00047684,0.00047684
20,149.877,0.45488,0.69912,1.42815,0.86334,0.01001,1,0.75048,0.62444,0.01001,1,0.75048,0.69315,0.63816,0.71123,2.44362,0.9236,0.0209975,0.000497518,0.000497518
21,157.124,0.54118,0.82048,1.41596,0.88957,0.01001,1,0.75048,0.62444,0.01001,1,0.75048,0.69315,0.63816,0.71123,2.44362,0.9236,0.0195177,0.0005177,0.0005177
22,164.078,0.52002,0.66103,1.40869,0.90005,0.01001,1,0.82917,0.7279,0.01001,1,0.82917,0.76669,0.53855,0.41377,2.32401,0.90032,0.0180374,0.000537388,0.000537388
23,171.254,0.59124,0.82021,1.46183,0.91691,0.01001,1,0.82917,0.7279,0.01001,1,0.82917,0.76669,0.53855,0.41377,2.32401,0.90032,0.0165566,0.00055658,0.00055658
24,178.539,0.57141,1.01241,1.41075,0.87124,0.52009,1,0.9675,0.87451,0.52009,1,0.9675,0.92435,0.45145,0.32836,2.1889,0.87781,0.0150753,0.000575277,0.000575277
25,185.644,0.52288,1.1108,1.31969,0.8698,0.52009,1,0.9675,0.87451,0.52009,1,0.9675,0.92435,0.45145,0.32836,2.1889,0.87781,0.0135935,0.00059348,0.00059348
26,192.801,0.52621,0.92284,1.27421,0.87433,0.7609,1,0.995,0.9067,0.7609,1,0.995,0.96745,0.47494,0.31913,2.00988,0.88292,0.0121112,0.000611187,0.000611187
27,199.905,0.58961,0.82519,1.28667,0.9248,0.7609,1,0.995,0.9067,0.7609,1,0.995,0.96745,0.47494,0.31913,2.00988,0.88292,0.0106284,0.0006284,0.0006284
28,207.099,0.54275,0.70082,1.21697,0.87505,0.91954,0.9886,0.995,0.88653,0.91954,0.9886,0.995,0.96212,0.55895,0.49221,1.83856,0.90644,0.00914512,0.000645118,0.000645118
29,214.43,0.50175,0.71463,1.21199,0.86588,0.91954,0.9886,0.995,0.88653,0.91954,0.9886,0.995,0.96212,0.55895,0.49221,1.83856,0.90644,0.00766134,0.00066134,0.00066134
30,221.32,0.47692,0.78769,1.16172,0.89076,0.91954,0.9886,0.995,0.88653,0.91954,0.9886,0.995,0.96212,0.55895,0.49221,1.83856,0.90644,0.00617707,0.000677068,0.000677068
31,228.18,0.56712,0.85021,1.3234,0.93733,0.85498,1,0.995,0.88454,0.85498,1,0.995,0.93453,0.52135,0.96127,1.55837,0.88667,0.0046923,0.0006923,0.0006923
32,234.983,0.53003,0.63566,1.16227,0.85374,0.85498,1,0.995,0.88454,0.85498,1,0.995,0.93453,0.52135,0.96127,1.55837,0.88667,0.00320704,0.000707038,0.000707038
33,241.699,0.45324,0.68796,1.1944,0.84616,0.87196,0.99996,0.995,0.91789,0.87196,0.99996,0.995,0.93804,0.40866,0.41202,1.42995,0.86214,0.00172128,0.00072128,0.00072128
34,248.763,0.52361,0.79946,1.1265,0.8617,0.87196,0.99996,0.995,0.91789,0.87196,0.99996,0.995,0.93804,0.40866,0.41202,1.42995,0.86214,0.00072775,0.00072775,0.00072775
35,255.941,0.5298,0.61577,1.29921,0.90409,0.87196,0.99996,0.995,0.91789,0.87196,0.99996,0.995,0.93804,0.40866,0.41202,1.42995,0.86214,0.0007195,0.0007195,0.0007195
36,263.073,0.57776,0.98194,1.183,0.90266,0.88216,0.98856,0.995,0.91593,0.88216,0.98856,0.995,0.97665,0.43936,0.31884,1.23904,0.86878,0.00071125,0.00071125,0.00071125
37,270.236,0.52631,0.84489,1.1115,0.88434,0.88216,0.98856,0.995,0.91593,0.88216,0.98856,0.995,0.97665,0.43936,0.31884,1.23904,0.86878,0.000703,0.000703,0.000703
38,277.394,0.44492,0.91179,1.21549,0.90342,0.88216,0.98856,0.995,0.91593,0.88216,0.98856,0.995,0.97665,0.43936,0.31884,1.23904,0.86878,0.00069475,0.00069475,0.00069475
39,284.691,0.57133,0.84939,1.09944,0.89259,0.80992,0.92375,0.995,0.90303,0.80992,0.92375,0.995,0.95648,0.52984,0.32484,1.41806,0.90027,0.0006865,0.0006865,0.0006865
40,292.032,0.5934,0.92396,1.20165,0.91965,0.80992,0.92375,0.995,0.90303,0.80992,0.92375,0.995,0.95648,0.52984,0.32484,1.41806,0.90027,0.00067825,0.00067825,0.00067825
41,299.243,0.52243,0.69115,1.16461,0.90104,0.95776,0.78848,0.995,0.91409,0.95776,0.78848,0.995,0.96745,0.42071,0.32154,1.39766,0.8773,0.00067,0.00067,0.00067
42,306.356,0.51139,0.74277,1.0985,0.87456,0.95776,0.78848,0.995,0.91409,0.95776,0.78848,0.995,0.96745,0.42071,0.32154,1.39766,0.8773,0.00066175,0.00066175,0.00066175
43,313.384,0.4677,0.76763,1.06756,0.87397,0.95776,0.78848,0.995,0.91409,0.95776,0.78848,0.995,0.96745,0.42071,0.32154,1.39766,0.8773,0.0006535,0.0006535,0.0006535
44,320.514,0.41819,0.5652,1.09813,0.82799,0.87809,0.98665,0.995,0.91592,0.87809,0.98665,0.995,0.98403,0.37891,0.29617,1.08487,0.86588,0.00064525,0.00064525,0.00064525
45,327.665,0.48615,0.66343,1.02947,0.86066,0.87809,0.98665,0.995,0.91592,0.87809,0.98665,0.995,0.98403,0.37891,0.29617,1.08487,0.86588,0.000637,0.000637,0.000637
46,335.178,0.5384,0.68971,1.11398,0.89164,0.87809,0.98665,0.995,0.91592,0.87809,0.98665,0.995,0.98403,0.37891,0.29617,1.08487,0.86588,0.00062875,0.00062875,0.00062875
